135
1	1	2	4	3	5.45961
2	1	2	5	4	1.46321
3	1	2	6	5	0.44376
4	1	2	7	6	0.09776
5	1	2	8	7	0.02848
6	1	2	9	8	0.01667
7	1	2	10	9	0.01313
8	1	2	11	10	0.01110
9	1	2	12	11	0.00938
10	1	2	13	12	0.00756
11	2	3	5	4	5.57710
12	2	3	6	5	1.17481
13	2	3	7	6	0.22995
14	2	3	8	7	0.05359
15	2	3	9	8	0.02407
16	2	3	10	9	0.01657
17	2	3	11	10	0.01312
18	2	3	12	11	0.01071
19	2	3	13	12	0.00847
20	2	3	14	13	0.00629
21	3	4	6	5	5.06433
22	3	4	7	6	0.75301
23	3	4	8	7	0.13913
24	3	4	9	8	0.04444
25	3	4	10	9	0.02415
26	3	4	11	10	0.01676
27	3	4	12	11	0.01273
28	3	4	13	12	0.00968
29	3	4	14	13	0.00701
30	3	4	15	14	0.00493
31	4	5	7	6	4.48510
32	4	5	8	7	0.61458
33	4	5	9	8	0.13929
34	4	5	10	9	0.05384
35	4	5	11	10	0.02880
36	4	5	12	11	0.01835
37	4	5	13	12	0.01251
38	4	5	14	13	0.00846
39	4	5	15	14	0.00563
40	4	5	16	15	0.00394
41	5	6	8	7	4.48582
42	5	6	9	8	0.75466
43	5	6	10	9	0.23145
44	5	6	11	10	0.09944
45	5	6	12	11	0.05206
46	5	6	13	12	0.03034
47	5	6	14	13	0.01826
48	5	6	15	14	0.01094
49	5	6	16	15	0.00668
50	5	6	17	16	0.00439
51	6	7	9	8	5.07275
52	6	7	10	9	1.18282
53	6	7	11	10	0.45183
54	6	7	12	11	0.21964
55	6	7	13	12	0.12136
56	6	7	14	13	0.07021
57	6	7	15	14	0.04064
58	6	7	16	15	0.02368
59	6	7	17	16	0.01443
60	6	7	18	17	0.00962
61	7	8	10	9	5.59342
62	7	8	11	10	1.48134
63	7	8	12	11	0.62350
64	7	8	13	12	0.32091
65	7	8	14	13	0.17883
66	7	8	15	14	0.10131
67	7	8	16	15	0.05808
68	7	8	17	16	0.03478
69	7	8	18	17	0.02268
70	7	8	19	18	0.01639
71	8	9	11	10	5.48477
72	8	9	12	11	1.44248
73	8	9	13	12	0.60396
74	8	9	14	13	0.30327
75	8	9	15	14	0.16252
76	8	9	16	15	0.08990
77	8	9	17	16	0.05211
78	8	9	18	17	0.03275
79	8	9	19	18	0.02279
80	8	9	20	19	0.01730
81	9	10	12	11	5.40179
82	9	10	13	12	1.39096
83	9	10	14	13	0.56300
84	9	10	15	14	0.27046
85	9	10	16	15	0.14026
86	9	10	17	16	0.07709
87	9	10	18	17	0.04569
88	9	10	19	18	0.02985
89	9	10	20	19	0.02144
90	9	10	21	20	0.01650
91	10	11	13	12	5.36511
92	10	11	14	13	1.35730
93	10	11	15	14	0.53330
94	10	11	16	15	0.24922
95	10	11	17	16 	0.12750
96	10	11	18	17	0.07037
97	10	11	19	18	0.04253
98	10	11	20	19	0.02833
99	10	11	21	20	0.02048
100	11	12	14	13	5.34358
101	11	12	15	14	1.33650
102	11	12	16	15	0.51734
103	11	12	17	16	0.23886
104	11	12	18	17	0.12167
105	11	12	19	18	0.06770
106	11	12	20	19	0.04144
107	11	12	21	20	0.02773
108	12	13	15	14	5.33859
109	12	13	16	15 	1.33136
110	12	13	17	16	0.51237
111	12	13	18	17	0.23531
112	12	13	19	18	0.12039
113	12	13	20	19	0.06788
114	12	13	21	20	0.04193
115	13	14	16	15	5.34533
116	13	14	17	16	1.33172
117	13	14	18	17	0.51077
118	13	14	19	18	0.23580
119	13	14	20	19	0.12287
120	13	14	21	20	0.07069
121	14	15	17	16	5.34344
122	14	15	18	17	1.32755
123	14	15	19	18	0.51153
124	14	15	20	19	0.24110
125	14	15	21	20	0.12933
126	15	16	18	17	5.33156
127	15	16	19	18	1.32641
128	15	16	20	19	0.51948
129	15	16	21	20	0.25191
130	16	17	19	18	5.32716
131	16	17	20	19	1.33477
132	16	17	21	20	0.53251
133	17	18	20	19	5.33050
134	17	18	21	20	1.34318
135	18	19	21	20	5.32913
